NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,NARRATIVE,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
481417,06014784,2/1/2006 12:00:00 AM,EVN,THEFT,2,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,R-1 REPORTS FOR C-1 THAT HE OBSERVED S-1 USING A CROWBAR TO PRY OPEN THE COIN OPERATED AIR COMPRESSOR.,38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
482863,06022290,2/18/2006 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C1 REPORTS UNKNOWN INDIVIDUALS ENTERED THE LISTED VEHICLE BY BREAKING THE REAR VENT WINDOW AND STOLE THE LISTED PROPERTY.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
495200,06080465,6/17/2006 12:00:00 AM,EVN,THEFT,2,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,NO NARRATIVE IS AVAILABLE.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
503333,06119032,8/29/2006 12:00:00 AM,EVN,BURGLARY,2,3/5/2010 7:16:57 AM,4800 B/O 4TH ST NW,C1 REPORTS THAT UNKNOWN SUSPECT ENTERED THE UNLOCKED DOOR OF THE LOCATION AND STOLE VARIOUS PROPERTY.,38.94922677426940,-77.017434589297,WASHINGTON,DC,4,4D,4D05,FOURTH,403,18,NONE,NONE,NONE,NONE
503396,06119265,8/30/2006 12:00:00 AM,MID,THEFT F/AUTO,2,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C1 REPORTS THAT AN UNKNOWN SUSPECT SMASHED THE PASSENGER WINDOW THEN STOLE VARIOUS PROPERTY.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
506043,06133866,9/29/2006 12:00:00 AM,MID,THEFT F/AUTO,1,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C1 REPORTS UNKNOWN INDIVIDUALS ENTERED THE VEHICLE BY SMASHING THE LEFT PASSENGER WINDOW AND ONCE INSIDE STOLE VARIOUS PROPERTY.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
514284,06174677,12/25/2006 12:00:00 AM,MID,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,C1 REPORTS THAT AN UNKNOWN SUSPECT STOLE THE VEHICLE FROM THE LISTED LOCATION.,38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
514649,06176038,12/28/2006 12:00:00 AM,DAY,BURGLARY,2,3/5/2010 7:16:57 AM,100 B/O 54TH ST SE,"C1 REPORTS UNKNOWN SUBJECT(S) ENTERED HIS RESIDENCE BY FORCING OPEN A REAR BASEMENT WINDOW, THEN FORCED OPEN THE UPSTAIRS DOOR FROM THE BASEMENT & TOOK A SAFE FROM THE MASTER BEDROOM. THE SAFE CONTAINED VARIOUS ITEMS.",38.88706163705260,-76.923293780257,WASHINGTON,DC,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
517157,07010017,1/22/2007 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:57 AM,1400 B/O OAK ST NW,SUSPECT STOLE THE VEHICLE FROM THE LISTED LOCATION. KEY AND REGISTRATION IN OWNERS POSSESSION. ( TRU ),38.93420180385450,-77.03401294921880,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
517776,07013151,1/29/2007 12:00:00 AM,MID,ROBBERY,SNATCH,3/5/2010 7:16:57 AM,400 B/O FLORIDA AVE NW,"C1 REPORTS THAT WHILE STANDING AT THE LISTED LOCATION, S1 WHO WAS STANDING BEHIND HIM IN LINE AT THE GAS STATION, OBSERVED C1 PLACING MONEY INTO HIS LEFT FRONT POCKET. S1 THEN PROCEEDED TO SNATCH $4.00 FROM C1''S LEFT FRONT PANT POCKET AND F",38.91415300994180,-77.01692443940840,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
