"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)*"|"Map**"|"BGN"|"Entry Date"|
"Chesapeake Bay Institute Field Laboratory Jo"|"583732"|"School"|"Anne Arundel"|"MD"|"390039N"|"0762707W"|"23"|"Gibson Island"|""|"12-SEP-79"
"Chesapeake Bay Bridge"|"588915"|"Bridge"|"Anne Arundel"|"MD"|"385948N"|"0762338W"|"0"|"Annapolis"|""|"01-NOV-91"
"Chesapeake Bay Maritime Museum"|"592689"|"Building"|"Talbot"|"MD"|"384715N"|"0761327W"|"7"|"Saint Michaels"|""|"01-MAY-94"
"Chesapeake Bay Business Park"|"596284"|"Locale"|"Queen Anne's"|"MD"|"385913N"|"0761859W"|"20"|"Kent Island"|""|"01-JUL-95"
"William Preston Lane Junior Memorial Bridge"|"596991"|"Bridge"|"Queen Anne's"|"MD"|"385923N"|"0762149W"|"0"|"Kent Island"|""|"12-SEP-79"
"Chesapeake Bay"|"597227"|"Bay"|"Calvert"|"MD"|"383100N"|"0762259W"|"0"|"Chesapeake Bay 2 (All Water)"|"01-JAN-33"|"12-SEP-79"
"Chesapeake Heights on the Bay"|"1676381"|"Populated Place"|"Calvert"|"MD"|"383400N"|"0763136W"|"69"|"Prince Frederick"|""|"20-MAR-96"
"Chesapeake Bay Basin"|"1697492"|"Harbor"|"St. Mary's"|"MD"|"381605N"|"0762347W"|"0"|"Solomons Island"|""|"09-MAY-96"
"Chesapeake Bay Middle School"|"1710866"|"School"|"Anne Arundel"|"MD"|"390645N"|"0762731W"|"59"|"Gibson Island"|""|"04-DEC-96"
"Chesapeake Bay Golf Club"|"2503184"|"Locale"|"Cecil"|"MD"|"393451N"|"0755601W"|"66"|"North East"|""|"23-OCT-08"
"Chesapeake Channel"|"598305"|"Channel"|"Northampton"|"VA"|"365801N"|"0760000W"|"0"|"Cape Henry"|"01-JAN-61"|"01-JUL-90"
"Chesapeake Bay Entrance"|"1488865"|"Locale"|"Virginia Beach (city)"|"VA"|"365726N"|"0755657W"|"0"|"North Virginia Beach"|""|"01-DEC-91"
"Chesapeake Bay Bridge-Tunnel"|"1491126"|"Bridge"|"Northampton"|"VA"|"370201N"|"0760459W"|"0"|"Chesapeake Channel"|""|"28-SEP-79"
"Chesapeake Bay Governors School"|"2464994"|"School"|"Richmond"|"VA"|"375725N"|"0764544W"|"118"|"Tappahannock"|""|"17-OCT-08"
"Chesapeake Bay Academy"|"2465134"|"School"|"Virginia Beach (city)"|"VA"|"365200N"|"0761051W"|"20"|"Kempsville"|""|"17-OCT-08"
"Chesapeake Bay Governors School"|"2465287"|"School"|"Caroline"|"VA"|"380220N"|"0772032W"|"207"|"Bowling Green"|""|"17-OCT-08"
"Chesapeake Bay Governors School"|"2465288"|"School"|"Gloucester"|"VA"|"373352N"|"0763726W"|"115"|"Saluda"|""|"17-OCT-08"
"Westminster Canterbury on Chesapeake Bay Nursing Home"|"2520066"|"Building"|"Virginia Beach (city)"|"VA"|"365442N"|"0760445W"|"7"|"Cape Henry"|""|"06-MAY-09"
